ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*,SUFF2_PFMF,SUFF2_FamSize,SUFF2_Freq_HAL,SUFF2_length,SUFF2_P,SUFF2_P*,SUFF3_PFMF,SUFF3_FamSize,SUFF3_Freq_HAL,SUFF3_length,SUFF3_P,SUFF3_P*,SUFF4_PFMF,SUFF4_FamSize,SUFF4_Freq_HAL,SUFF4_length,SUFF4_P,SUFF4_P*
22403,impressionistically,RB,6,"1,1,4",{<in<(press)}>ion>>ist>>ic>>ly>,"96,07843137",358,2402388,2,"6,66E-06","0,002471805963","94,44444444",73,340039,"97,55944931",1599,6530204,3,"9,03E-06","0,009114784489","95,66160521",462,382916,3,"6,27E-05","0,003707708945","94,37314906",1014,1472797,2,"2,78E-05","0,006334002781","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
32731,Congregationalisms,NN,6,"1,1,4",{<co<(greg)>ate>}>ion>>al>>ism>,"92,41192412",370,1256048,2,"1,51E-05","0,002935269581","93,75",17,31035,"93,37606838",937,2569118,3,"2,65E-05","0,01050517534","94,68085106",1599,6530204,3,"9,03E-06","0,009114784489","91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","91,85185185",271,218200,3,"5,50E-05","0,001853854472"
60716,institutionalization,NN,6,"1,1,4",{<in<(stitute)}>ion>>al>>ize>>ion>,"73,66946779",358,2402388,2,"6,66E-06","0,002471805963",76,26,153966,"68,83604506",1599,6530204,3,"9,03E-06","0,009114784489","63,07692308",1431,4704731,2,"9,14E-06","0,006642978526","51,98135198",430,443161,3,"0,0001489300728","0,0101961996","68,83604506",1599,6530204,3,"9,03E-06","0,009114784489"
69870,denominationally,RB,6,"1,1,4",{<de<(nomin)>ate>}>ion>>al>>ly>,"94,52554745",275,559431,2,"4,65E-05","0,00401668469","97,22222222",37,34420,"96,47435897",937,2569118,3,"2,65E-05","0,01050517534","97,55944931",1599,6530204,3,"9,03E-06","0,009114784489","96,08391608",1431,4704731,2,"9,14E-06","0,006642978526","86,8829824",2898,3857999,2,"4,48E-05","0,02672640198"
71588,Congregationalism,NN,6,"1,1,4",{<co<(greg)>ate>}>ion>>al>>ism>,"92,41192412",370,1256048,2,"1,51E-05","0,002935269581","93,75",17,31035,"93,37606838",937,2569118,3,"2,65E-05","0,01050517534","94,68085106",1599,6530204,3,"9,03E-06","0,009114784489","91,53846154",1431,4704731,2,"9,14E-06","0,006642978526","91,85185185",271,218200,3,"5,50E-05","0,001853854472"
71589,Congregationalist,NN,6,"1,1,4",{<co<(greg)>ate>}>ion>>al>>ist>,"77,77777778",370,1256048,2,"1,51E-05","0,002935269581",75,17,31035,"77,45726496",937,2569118,3,"2,65E-05","0,01050517534","80,03754693",1599,6530204,3,"9,03E-06","0,009114784489","74,33566434",1431,4704731,2,"9,14E-06","0,006642978526","72,45119306",462,382916,3,"6,27E-05","0,003707708945"
71590,Congregationalists,NN,6,"1,1,4",{<co<(greg)>ate>}>ion>>al>>ist>,"77,77777778",370,1256048,2,"1,51E-05","0,002935269581",75,17,31035,"77,45726496",937,2569118,3,"2,65E-05","0,01050517534","80,03754693",1599,6530204,3,"9,03E-06","0,009114784489","74,33566434",1431,4704731,2,"9,14E-06","0,006642978526","72,45119306",462,382916,3,"6,27E-05","0,003707708945"
