ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,PREF1_PFMF,PREF1_FamSize,PREF1_Freq_HAL,PREF1_length,PREF1_P,PREF1_P*,PREF2_PFMF,PREF2_FamSize,PREF2_Freq_HAL,PREF2_length,PREF2_P,PREF2_P*,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL
15993,nonconformism,NN,4,"2,2,0",<non<{<co<(form)}{(ism)},"59,15492958",72,16866,3,"0,0002964544053","0,0007724393635","88,88888889",370,1256048,2,"1,51E-05","0,002935269581","81,39534884",44,247116,"33,33333333",7,610
41706,unacknowledged,JJ,4,"2,2,0",<un<{<a<(know)(ledge)},"47,92973651",798,538545,2,"7,24E-05","0,006025027035","63,63636364",309,1336429,1,"1,72E-05","0,003553221072","68,42105263",20,1110615,"87,5",9,109567
