ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL,SUFF1_PFMF,SUFF1_FamSize,SUFF1_Freq_HAL,SUFF1_length,SUFF1_P,SUFF1_P*
46649,signalman,NN,3,"0,2,1",{(sign)}>al>{(man)},68,26,219005,"79,86013986",1431,4704731,"9,14E-06","0,006642978526","71,42857143",211,300379,3
46759,singlehandedly,RB,3,"0,2,1",{(single)}{(hand)}>ly>,"62,5",9,110124,40,61,232844,"28,02899551",2898,3857999,2,"4,48E-05","0,02672640198"
46841,skateboarder,NN,3,"0,2,1",{(skate)}{(board)}>er>,75,5,33546,"44,64285714",57,163026,"39,15530136",2274,4569119,2,"3,55E-05","0,02502703538"
46881,skillfulness,NN,3,"0,2,1",{(skill)}{(full)}>ness>,100,5,105738,70,11,195498,"73,34943639",1243,181553,4,"0,0005838515475","0,01637571451"
46963,sharecropper,NN,3,"0,2,1",{(share)}{(crop)}>er>,"83,33333333",7,105186,75,5,8280,"53,71755389",2274,4569119,2,"3,55E-05","0,02502703538"
46964,shamefacedly,RB,3,"0,2,1",{(shame)}{(face)}>ly>,"63,63636364",12,18366,"57,14285714",29,179045,"51,846738",2898,3857999,2,"4,48E-05","0,02672640198"
46987,shareholder,NN,3,"0,2,1",{(share)}{(hold)}>er>,"33,33333333",7,105186,"13,79310345",30,140327,"11,21865376",2274,4569119,2,"3,55E-05","0,02502703538"
46988,shareholders,NN,3,"0,2,1",{(share)}{(hold)}>er>,"33,33333333",7,105186,"13,79310345",30,140327,"11,21865376",2274,4569119,2,"3,55E-05","0,02502703538"
47006,sharpshooters,NN,3,"0,2,1",{(sharp)}{(shoot)}>er>,"55,55555556",10,18869,"37,5",9,47015,"31,80818302",2274,4569119,2,"3,55E-05","0,02502703538"
47008,sharpshooter,NN,3,"0,2,1",{(sharp)}{(shoot)}>er>,"55,55555556",10,18869,"37,5",9,47015,"31,80818302",2274,4569119,2,"3,55E-05","0,02502703538"
47119,shipbroker,NN,3,"0,2,1",{(ship)}{(broke)}>er>,"97,05882353",35,184087,100,12,49922,"87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
47120,shipbuilder,NN,3,"0,2,1",{(ship)}{(build)}>er>,"70,58823529",35,184087,"83,33333333",13,121790,"60,66871975",2274,4569119,2,"3,55E-05","0,02502703538"
47128,shipowner,NN,3,"0,2,1",{(ship)}{(own)}>er>,"76,47058824",35,184087,"87,5",9,375991,"63,44038715",2274,4569119,2,"3,55E-05","0,02502703538"
47174,shoemaker,NN,3,"0,2,1",{(shoe)}{(make)}>er>,"16,66666667",13,18923,"23,07692308",40,1073485,"27,4967004",2274,4569119,2,"3,55E-05","0,02502703538"
47190,shopkeeper,NN,3,"0,2,1",{(shop)}{(keep)}>er>,"36,36363636",12,73166,"36,84210526",20,247711,"25,60492741",2274,4569119,2,"3,55E-05","0,02502703538"
47191,shopkeepers,NN,3,"0,2,1",{(shop)}{(keep)}>er>,"36,36363636",12,73166,"36,84210526",20,247711,"25,60492741",2274,4569119,2,"3,55E-05","0,02502703538"
47193,shoplifter,NN,3,"0,2,1",{(shop)}{(lift)}>er>,"63,63636364",12,73166,"55,55555556",10,21714,"45,93048834",2274,4569119,2,"3,55E-05","0,02502703538"
47199,shopworn,JJ,3,"0,2,1",{(shop)}{(wore)}>n>,"81,81818182",12,73166,25,9,13946,"79,19463087",150,714837,1,"1,12E-05","0,001235902982"
47226,shortsightedness,NN,3,"0,2,1",{(short)}{(sight)}>ness>,"89,47368421",20,134285,55,21,37472,"22,06119163",1243,181553,4,"0,0005838515475","0,01637571451"
47265,showmanship,NN,3,"0,2,1",{(show)}(man)>ship>,50,19,328744,"41,42857143",211,300379,48,76,164220,4,"1,22E-05","0,0003089757454"
47393,seersucker,NN,3,"0,2,1",{(seek)(suck)>er>},100,3,63570,100,5,43326,"71,93136824",2274,4569119,2,"3,55E-05","0,02502703538"
47410,seismology,NN,3,"0,2,1",{(seism)(log)>y>},25,5,1174,"52,80373832",215,380513,"29,05432596",2486,3870233,1,"4,99E-05","0,02981615943"
47605,servicemen,NN,3,"0,2,1",{(serve)>ice>}(men),"40,47619048",43,651056,"46,66666667",16,409276,"2,44E-06","0,0001544878727","11,46496815",158,125014,3
47739,sceneshifter,NN,3,"0,2,1",{(scene)}{(shift)}>er>,100,5,48281,"58,33333333",13,25140,"87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
47785,schoolgirlish,JJ,3,"0,2,1",{(school)}{(girl)}>ish>,"92,30769231",27,173427,"76,92307692",14,80289,"65,73705179",252,161977,3,"0,0001111268884","0,002780781709"
47844,scorekeeper,NN,3,"0,2,1",{(score)}{(keep)}>er>,"83,33333333",7,47476,"84,21052632",20,247711,"51,86977563",2274,4569119,2,"3,55E-05","0,02502703538"
47929,screwdriver,NN,3,"0,2,1",{(screw)}{(drive)}>er>,"12,5",9,26379,60,6,369466,"15,48614166",2274,4569119,2,"3,55E-05","0,02502703538"
47945,scriptwriter,NN,3,"0,2,1",{(script)}{(write)}>er>,"60,97560976",42,343830,"68,42105263",20,938692,"39,06731192",2274,4569119,2,"3,55E-05","0,02502703538"
48004,seafarers,NN,3,"0,2,1",{(sea)(fare)}>er>,"61,29032258",32,55954,"85,71428571",8,33108,"48,74615046",2274,4569119,2,"3,55E-05","0,02502703538"
48020,seamanship,NN,3,"0,2,1",{(sea)}(man)>ship>,"90,32258065",32,55954,"60,95238095",211,300379,72,76,164220,4,"1,22E-05","0,0003089757454"
48047,seasickness,NN,3,"0,2,1",{(sea)}{(sick)}>ness>,"74,19354839",32,55954,"52,38095238",22,27260,"21,81964573",1243,181553,4,"0,0005838515475","0,01637571451"
48067,seaworthy,JJ,3,"0,2,1",{(sea)}{(worth)}>y>,"70,96774194",32,55954,"51,72413793",30,103812,"37,54527163",2486,3870233,1,"4,99E-05","0,02981615943"
48130,sadomasochism,NN,3,"0,2,1",{(sado)(masoch)>ism>},0,1,133,100,4,1286,"49,62962963",271,218200,3,"5,50E-05","0,001853854472"
48133,safecracker,NN,3,"0,2,1",{(safe)}{(crack)}>er>,"81,81818182",12,73422,"77,77777778",10,21939,"59,21689397",2274,4569119,2,"3,55E-05","0,02502703538"
48190,salesmanship,NN,3,"0,2,1",{(sale)}(man)>ship>,"66,66666667",13,162852,"48,57142857",211,300379,64,76,164220,4,"1,22E-05","0,0003089757454"
48261,sanctimonious,JJ,3,"0,2,1",{(sanct)(mony)}>ious>,"55,55555556",10,14938,"22,22222222",10,8995,"21,59090909",617,450833,4,"7,10E-05","0,004943611926"
48285,sandpiper,NN,3,"0,2,1",{(sand)}{(pipe)}>er>,"63,15789474",20,24930,"28,57142857",15,27481,"46,41443027",2274,4569119,2,"3,55E-05","0,02502703538"
48328,sarcophagus,NN,3,"0,2,1",{(sarco)(phage)>us>},0,2,118,25,5,396,"61,53846154",27,178733,2,"1,68E-05","0,0004634636181"
48361,satisfaction,NN,3,"0,2,1",{(satis)(fact)>ion>},"7,692307692",14,32903,"20,83333333",25,364953,"11,32665832",1599,6530204,3,"9,03E-06","0,009114784489"
48362,satisfactions,NN,3,"0,2,1",{(satis)(fact)>ion>},"7,692307692",14,32903,"20,83333333",25,364953,"11,32665832",1599,6530204,3,"9,03E-06","0,009114784489"
48364,satisfactory,JJ,3,"0,2,1",{(satis)(fact)>ory>},"15,38461538",14,32903,"37,5",25,364953,"15,21126761",356,725186,3,"2,62E-05","0,002935269581"
48423,saxophonist,NN,3,"0,2,1",{(saxo)(phon)}>ist>,100,2,842,"37,5",41,207292,"42,29934924",462,382916,3,"6,27E-05","0,003707708945"
48490,roadworthy,JJ,3,"0,2,1",{(road)}{(worth)}>y>,"68,42105263",20,88137,"72,4137931",30,103812,"55,01006036",2486,3870233,1,"4,99E-05","0,02981615943"
48687,roughrider,NN,3,"0,2,1",{(rough)}{(ride)}>er>,"54,54545455",12,22794,"57,14285714",8,56403,"48,43818742",2274,4569119,2,"3,55E-05","0,02502703538"
48737,rubberneck,VB|NN,3,"0,2,1",{(rub)}>er>{(neck)},100,7,23357,"65,37615486",2274,4569119,"3,55E-05","0,02502703538","58,82352941",18,20615,4
49091,ribonucleic,JJ,3,"0,2,1",{(ribo)(nucleo)>ic>},0,1,13,"62,5",9,22770,"77,1964462",1014,1472797,2,"2,78E-05","0,006334002781"
49155,righthander,NN,3,"0,2,1",{(right)}{(hand)}>er>,"90,90909091",23,556722,"86,66666667",61,232844,"65,37615486",2274,4569119,2,"3,55E-05","0,02502703538"
49157,righthandler,NN,3,"0,2,1",{(right)}{(handle)}>er>,100,23,556722,100,10,96192,"87,1975363",2274,4569119,2,"3,55E-05","0,02502703538"
49183,ringleader,NN,3,"0,2,1",{(ring)}{(lead)}>er>,50,11,58201,"66,66666667",10,174774,"46,15046194",2274,4569119,2,"3,55E-05","0,02502703538"
50233,rectangular,JJ,3,"0,2,1",{(rect)(angle)>ar>},"11,11111111",10,7117,"36,36363636",12,28660,"27,34375",129,533962,2,"7,49E-06","0,0006179514908"
50237,rectilinear,JJ,3,"0,2,1",{(rect)(line)>ar>},"77,77777778",10,7117,"66,66666667",64,426769,"57,8125",129,533962,2,"7,49E-06","0,0006179514908"
50460,radioactive,JJ,3,"0,2,1",(radio){(act)}>ive>,"9,375",33,99653,"32,75862069",59,716577,"13,29879102",580,1037354,3,"1,74E-05","0,002780781709"
50463,radiochlorine,NN|JJ,3,"0,2,1",{(radio)}{(chlor)>ine>},"90,625",33,99653,100,10,3878,100,30,18081,3,"0,000110613351","0,0003089757454"
50467,radiography,NN,3,"0,2,1",{(radio)(graph)>y>},"65,625",33,99653,"66,95652174",116,198105,"39,67806841",2486,3870233,1,"4,99E-05","0,02981615943"
50469,radiology,NN,3,"0,2,1",{(radio)(log)>y>},"21,875",33,99653,"28,5046729",215,380513,"14,76861167",2486,3870233,1,"4,99E-05","0,02981615943"
50471,radiotherapy,NN,3,"0,2,1",(radio){(therap)>y>},"62,5",33,99653,"57,14285714",15,17922,"36,98189135",2486,3870233,1,"4,99E-05","0,02981615943"
50505,railroader,NN,3,"0,2,1",{(rail)}{(road)}>er>,"45,45454545",12,22944,"52,63157895",20,88137,"38,31940167",2274,4569119,2,"3,55E-05","0,02502703538"
50647,ratepayer,NN,3,"0,2,1",{(rate)}{(pay)}>er>,"71,42857143",8,156934,"96,15384615",27,289396,"65,37615486",2274,4569119,2,"3,55E-05","0,02502703538"
50987,pussycat,NN,3,"0,2,1",{(puss)}>y>{(cat)},25,5,12434,"20,32193159",2486,3870233,"4,99E-05","0,02981615943","27,27272727",23,65424,3
50988,pussyfoot,VB,3,"0,2,1",{(puss)}>y>{(foot)},75,5,12434,"43,54124748",2486,3870233,"4,99E-05","0,02981615943","66,66666667",43,58389,4
51015,pyromaniac,NN,3,"0,2,1",{(pyro)(mania)>iac>},60,6,2650,"33,33333333",16,2751,"46,15384615",14,1568,3,"0,000637755102","0,0001544878727"
