ELP_ItemID,Word,POS,Nmorph,PRS_signature,MorphoLexSegm,ROOT1_PFMF,ROOT1_FamSize,ROOT1_Freq_HAL,ROOT2_PFMF,ROOT2_FamSize,ROOT2_Freq_HAL
26498,footbridges,NN,2,"0,2,0",{(foot)}{(bridge)},"71,42857143",43,58389,80,11,26961
26502,footfall,NN,2,"0,2,0",{(foot)}{(fall)},"42,85714286",43,58389,"69,56521739",24,104794
26503,footfalls,NN,2,"0,2,0",{(foot)}{(fall)},"42,85714286",43,58389,"69,56521739",24,104794
26504,footfault,NN|VB,2,"0,2,0",{(foot)}{(fault)},"85,71428571",43,58389,80,11,27216
26505,footfaults,VB|NN,2,"0,2,0",{(foot)}{(fault)},"85,71428571",43,58389,80,11,27216
26506,footholds,NN,2,"0,2,0",{(foot)}{(hold)},"28,57142857",43,58389,"27,5862069",30,140327
26510,footlights,NN,2,"0,2,0",{(foot)}{(light)},"33,33333333",43,58389,"59,09090909",45,176000
26512,footman,NN,2,"0,2,0",{(foot)}(man),"38,0952381",43,58389,"39,52380952",211,300379
26513,footmarks,NN,2,"0,2,0",{(foot)}{(mark)},"85,71428571",43,58389,"89,28571429",29,181577
26514,footmen,NN,2,"0,2,0",{(foot)}(men),50,43,58389,"32,48407643",158,125014
26515,footnoted,JJ|VB,2,"0,2,0",{(foot)}{(note)},"7,142857143",43,58389,40,21,248066
26516,footnotes,NN,2,"0,2,0",{(foot)}{(note)},"7,142857143",43,58389,40,21,248066
26517,footnoting,VB|NN|JJ,2,"0,2,0",{(foot)}{(note)},"7,142857143",43,58389,40,21,248066
26518,footpads,NN,2,"0,2,0",{(foot)}{(pad)},"64,28571429",43,58389,50,7,17879
26519,footpaths,NN,2,"0,2,0",{(foot)}{(patho)},"45,23809524",43,58389,50,49,81153
26520,footplate,NN,2,"0,2,0",{(foot)}{(plate)},"54,76190476",43,58389,"54,54545455",12,17557
26521,footplates,NN,2,"0,2,0",{(foot)}{(plate)},"54,76190476",43,58389,"54,54545455",12,17557
26522,footprints,NN,2,"0,2,0",{(foot)}{(print)},"9,523809524",43,58389,"46,66666667",16,186720
26525,footslog,VB,2,"0,2,0",{(foot)}{(slog)},"85,71428571",43,58389,100,4,378
26526,footslogged,VB|JJ,2,"0,2,0",{(foot)}{(slog)},"85,71428571",43,58389,100,4,378
26529,footslogging,VB|NN|JJ,2,"0,2,0",{(foot)}{(slog)},"85,71428571",43,58389,100,4,378
26530,footslogs,VB,2,"0,2,0",{(foot)}{(slog)},"85,71428571",43,58389,100,4,378
26531,footstools,NN,2,"0,2,0",{(foot)}{(stool)},"40,47619048",43,58389,50,3,1829
26546,forcemeat,NN,2,"0,2,0",{(force)}{(meat)},100,14,174868,90,11,16646
26581,foremen,NN,2,"0,2,0",{(fore)}(men),"66,66666667",10,65132,"35,66878981",158,125014
26594,FENWICK,NN,2,"0,2,0",{(fen)(wick)},50,3,959,40,6,1756
26608,FERNBERGER,NN,2,"0,2,0",{(fern)}{(berger)},75,5,789,100,2,1473
26626,ferryboats,NN,2,"0,2,0",{(ferry)}{(boat)},"66,66666667",4,3017,76,26,26516
26628,ferrymen,NN,2,"0,2,0",{(ferry)}{(men)},100,4,3017,"82,1656051",158,125014
26670,FEVERSHAM,NN,2,"0,2,0",{(fever)}{(sham)},100,4,5000,100,2,1083
26688,fibreboard,NN,2,"0,2,0",{(fibre)}{(board)},100,3,1633,"76,78571429",57,163026
26689,fibreglass,NN|JJ,2,"0,2,0",{(fibre)}{(glass)},50,3,1633,"41,17647059",18,35363
26719,FIELDSTONE,NN,2,"0,2,0",{(field)}{(stone)},75,21,112888,"76,74418605",44,61759
26720,fieldworks,NN,2,"0,2,0",{(field)}{(work)},55,21,112888,"41,17647059",86,1051110
26731,fifteens,NN,2,"0,2,0",{(five)(teen)},"81,81818182",12,83688,50,15,16279
26742,figureheads,NN,2,"0,2,0",{(figure)}{(head)},"46,15384615",14,136039,"39,17525773",98,230581
26787,FINDSOME,NN,2,"0,2,0",{(find)}{(some)},"83,33333333",7,435097,100,14,1879495
26790,fingerboards,NN,2,"0,2,0",{(finger)}{(board)},50,9,67683,"26,78571429",57,163026
26791,fingerplate,NN,2,"0,2,0",{(finger)}{(plate)},"87,5",9,67683,"90,90909091",12,17557
26792,fingerplates,NN,2,"0,2,0",{(finger)}{(plate)},"87,5",9,67683,"90,90909091",12,17557
26793,fingerpost,NN,2,"0,2,0",{(finger)}{(post)},"87,5",9,67683,"95,45454545",23,720663
26794,fingerposts,NN,2,"0,2,0",{(finger)}{(post)},"87,5",9,67683,"95,45454545",23,720663
26795,fingerprinted,VB|JJ,2,"0,2,0",{(finger)}{(print)},"12,5",9,67683,20,16,186720
26815,fireballs,NN,2,"0,2,0",{(fire)}{(ball)},"4,081632653",50,118119,"14,81481481",28,117537
26817,firebombs,NN|VB,2,"0,2,0",{(fire)}{(bomb)},"55,10204082",50,118119,60,6,33507
26819,firebrands,NN,2,"0,2,0",{(fire)}{(brand)},"48,97959184",50,118119,50,3,32031
26820,firebreak,NN|VB,2,"0,2,0",{(fire)}{(break)},"67,34693878",50,118119,"78,78787879",34,95043
26821,firebricks,NN,2,"0,2,0",{(fire)}{(brick)},"69,3877551",50,118119,"62,5",9,6006
26822,firebugs,NN,2,"0,2,0",{(fire)}{(bug)},"51,02040816",50,118119,25,13,65643
26823,fireclay,NN,2,"0,2,0",{(fire)}{(clay)},"85,71428571",50,118119,50,3,10990
26824,firedamp,NN,2,"0,2,0",{(fire)}{(damp)},"87,75510204",50,118119,"87,5",9,5464
26825,firedogs,NN,2,"0,2,0",{(fire)}{(dog)},"71,42857143",50,118119,"65,2173913",24,100925
26826,fireflies,NN,2,"0,2,0",{(fire)}{(fly)},"42,85714286",50,118119,"19,23076923",27,76434
26827,fireguard,NN,2,"0,2,0",{(fire)}{(guard)},"83,67346939",50,118119,"76,19047619",22,44349
26828,fireguards,NN,2,"0,2,0",{(fire)}{(guard)},"83,67346939",50,118119,"76,19047619",22,44349
26832,fireproofing,NN|VB,2,"0,2,0",{(fire)}{(proof)},"59,18367347",50,118119,"47,05882353",18,35272
26834,firesides,NN,2,"0,2,0",{(fire)}{(side)},"46,93877551",50,118119,"50,87719298",58,343426
26835,firestone,NN,2,"0,2,0",{(fire)(stone)},"40,81632653",50,118119,"27,90697674",44,61759
26844,firewatching,VB,2,"0,2,0",{(fire)}{(watch)},"87,75510204",50,118119,"82,35294118",18,112901
26845,firework,NN,2,"0,2,0",{(fire)}{(work)},"8,163265306",50,118119,"11,76470588",86,1051110
26854,firstborns,NN,2,"0,2,0",{(first)}{(born)},75,5,522731,"45,45454545",12,40208
26855,firstfruits,NN,2,"0,2,0",{(first)}{(fruit)},100,5,522731,"64,70588235",18,18004
26860,firtrees,NN,2,"0,2,0",{(fir)}{(tree)},100,2,1011,100,6,42106
26864,fishbones,NN,2,"0,2,0",{(fish)}{(bone)},"36,66666667",31,56578,"19,23076923",27,31548
26865,fishcakes,NN,2,"0,2,0",{(fish)}{(cake)},"83,33333333",31,56578,"72,72727273",12,10213
26871,fishpaste,NN|VB,2,"0,2,0",{(fish)}{(paste)},100,31,56578,100,7,9600
26874,fishwife,NN,2,"0,2,0",{(fish)}{(wife)},90,31,56578,60,11,43730
26875,fishwives,NN,2,"0,2,0",{(fish)}{(wife)},90,31,56578,60,11,43730
26895,fivepences,NN,2,"0,2,0",{(five)}{(pence)},"81,81818182",12,83688,"66,66666667",10,600
26934,flagships,NN,2,"0,2,0",{(flag)}{(ship)},"16,66666667",7,23882,"5,882352941",35,184087
26935,flagstaffs,NN,2,"0,2,0",{(flag)}{(staff)},"33,33333333",7,23882,25,5,49324
26936,flagstones,NN,2,"0,2,0",{(flag)}{(stone)},"66,66666667",7,23882,"58,13953488",44,61759
26958,flapjacks,NN,2,"0,2,0",{(flap)}{(jack)},"33,33333333",4,3271,"61,53846154",14,44720
26960,flashbacks,NN,2,"0,2,0",{(flash)}{(back)},"8,333333333",13,28663,"13,23529412",69,549038
26961,flashbulbs,NN,2,"0,2,0",{(flash)}{(bulb)},"66,66666667",13,28663,100,4,6518
26971,flashlights,NN,2,"0,2,0",{(flash)}{(light)},"16,66666667",13,28663,"31,81818182",45,176000
26972,flashpoint,NN,2,"0,2,0",{(flash)}{(point)},"41,66666667",13,28663,"42,85714286",22,431824
26973,flashpoints,NN,2,"0,2,0",{(flash)}{(point)},"41,66666667",13,28663,"42,85714286",22,431824
26976,flatfish,NN,2,"0,2,0",{(flat)}{(fish)},"66,66666667",13,31768,80,31,56578
26977,flatfishes,NN,2,"0,2,0",{(flat)}{(fish)},"66,66666667",13,31768,80,31,56578
26978,flatiron,NN,2,"0,2,0",{(flat)}{(iron)},75,13,31768,"64,28571429",15,31509
26979,flatirons,NN,2,"0,2,0",{(flat)}{(iron)},75,13,31768,"64,28571429",15,31509
26980,FLATLAND,NN,2,"0,2,0",{(flat)}{(land)},25,13,31768,50,59,140623
26981,flatlet,VB|NN,2,"0,2,0",{(flat)}{(let)},"91,66666667",13,31768,100,8,250716
26982,flatlets,VB|NN,2,"0,2,0",{(flat)}{(let)},"91,66666667",13,31768,100,8,250716
27036,eyebaths,NN,2,"0,2,0",{(eye)}{(bath)},100,24,108442,100,10,18499
27037,eyecatching,JJ,2,"0,2,0",{(eye)}{(catch)},"78,26086957",24,108442,"83,33333333",13,32266
27040,eyedrops,NN,2,"0,2,0",{(eye)}{(drop)},"69,56521739",24,108442,"83,33333333",13,84961
27042,eyepieces,NN,2,"0,2,0",{(eye)}{(piece)},"21,73913043",24,108442,"13,63636364",23,77902
27043,eyesores,NN,2,"0,2,0",{(eye)}{(sore)},"47,82608696",24,108442,"42,85714286",8,5489
27044,eyewitnesses,NN,2,"0,2,0",{(eye)}{(witness)},"8,695652174",24,108442,100,2,18126
27061,facecloths,NN,2,"0,2,0",{(face)}{(cloth)},"71,42857143",29,179045,"73,91304348",24,38851
27090,fadeouts,NN,2,"0,2,0",{(fade)}{(out)},100,2,8648,"88,23529412",35,1415807
27115,FAIRBROTHERS,NN,2,"0,2,0",{(fair)}{(brother)},"94,11764706",18,98719,80,6,45504
27116,FAIRCHILD,NN,2,"0,2,0",{(fair)(child)},"29,41176471",18,98719,"33,33333333",16,185392
27119,fairgrounds,NN,2,"0,2,0",{(fair)}{(ground)},"47,05882353",18,98719,40,21,127623
27125,FAIRVIEW,NN,2,"0,2,0",{(fair)(view)},"70,58823529",18,98719,"77,77777778",10,230132
27126,fairylands,NN,2,"0,2,0",{(fairy)}{(land)},100,3,3061,"68,96551724",59,140623
27127,fairytales,NN,2,"0,2,0",{(fairy)}{(tale)},50,3,3061,"33,33333333",4,14996
27177,fancyworks,NN,2,"0,2,0",{(fancy)}{(work)},"83,33333333",7,9267,"84,70588235",86,1051110
27182,fanlights,NN,2,"0,2,0",{(fan)}{(light)},100,3,69956,"88,63636364",45,176000
27198,farmhands,NN,2,"0,2,0",{(farm)}{(hand)},"71,42857143",8,28836,"58,33333333",61,232844
27200,farmsteads,NN,2,"0,2,0",{(farm)}{(stead)},"28,57142857",8,28836,0,7,3972
27201,FARMWIFE'S,encl,2,"0,2,0",{(farm)}{(wife)},100,8,28836,80,11,43730
27202,farmyards,NN,2,"0,2,0",{(farm)}{(yard)},"85,71428571",8,28836,"73,68421053",20,22835
27242,FATBOY,NN,2,"0,2,0",{(fat)}{(boy)},"35,71428571",15,33278,50,21,85827
27245,fatheads,NN,2,"0,2,0",{(fat)}{(head)},50,15,33278,"61,8556701",98,230581
27246,fatherlands,NN,2,"0,2,0",{(father)}{(land)},60,11,57523,"43,10344828",59,140623
27277,faultfinding,NN|VB|JJ,2,"0,2,0",{(fault)}{(find)},40,11,27216,"66,66666667",7,435097
27297,featherbeds,NN,2,"0,2,0",{(feather)}{(bed)},60,6,5119,"54,54545455",34,56867
27338,feedbags,NN,2,"0,2,0",{(feed)}{(bag)},"85,71428571",8,52257,60,26,30703
27461,Eurodollars,NN,2,"0,2,0",(euro){(dollar)},60,6,1569,100,2,61968
27501,evensong,NN,2,"0,2,0",{(even)}{(song)},100,7,494850,"81,81818182",12,94297
27509,evergreens,NN,2,"0,2,0",{(ever)}{(green)},"47,61904762",22,564255,"11,76470588",18,98574
27510,EVERMOUNTING,VB|NN,2,"0,2,0",{(ever)}{(mount)},"95,23809524",22,564255,"90,90909091",12,116277
27552,EXCELSIN,NN|VB,2,"0,2,0",{(excel)}{(sin)},100,6,96427,100,9,26920
27713,EXPOSITED,VB|JJ,2,"0,2,0",{(expo)}{(site)},100,2,2963,100,4,233002
27745,endways,RB,2,"0,2,0",{(end)}(ways),100,13,328521,80,6,49
27763,endpapers,NN,2,"0,2,0",{(end)}{(paper)},"33,33333333",13,328521,"31,25",17,130502
27796,Englishwomen,NN,2,"0,2,0",{(english)}(women),100,5,78008,"51,72413793",30,123504
